Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S2313114243,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,73.86,,76416,77177,Tournament,1,0,https://www.fanduel.com/entry/FEQMYWCVX,
S2313114234,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,93.66,,65729,77177,Tournament,1,0,https://www.fanduel.com/entry/ECHQDGVGB,
S2313114223,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,80.56,,74884,77177,Tournament,1,0,https://www.fanduel.com/entry/EARXRGLMN,
S2313114215,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,111.66,,37821,77177,Tournament,1,0,https://www.fanduel.com/entry/EGAYNZAQZ,
S2313114207,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,101.56,,54983,77177,Tournament,1,0,https://www.fanduel.com/entry/EDJLCPTBT,
S2313114199,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,98.66,,59473,77177,Tournament,1,0,https://www.fanduel.com/entry/EELGBYQXL,
S2313114183,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,94.86,,64312,77177,Tournament,1,0,https://www.fanduel.com/entry/EJUGYRGBX,
S2313114172,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,97.36,,61092,77177,Tournament,1,0,https://www.fanduel.com/entry/EKWBYADXP,
S2313114168,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,118.46,,25829,77177,Tournament,1,0,https://www.fanduel.com/entry/EHQQZZKKN,
S2313114163,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,119.86,,23330,77177,Tournament,1,2.00,https://www.fanduel.com/entry/EJGJLZUEB,
S2313114142,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,82.26,,74313,77177,Tournament,1,0,https://www.fanduel.com/entry/EPDHVJVGJ,
S2313114133,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,80.96,,74754,77177,Tournament,1,0,https://www.fanduel.com/entry/ELXWXJBTH,
S2313114119,nfl,2021/01/09,$80K Sat NFL Dive ($5K to 1st),$60k,100.76,,56511,77177,Tournament,1,0,https://www.fanduel.com/entry/DSRJJMAQB,
S2309518190,nba,2021/01/07,$30K Thu NBA Dribbler (Single Entry),$60k,350.80,,1593,23249,Tournament,1,3.00,https://www.fanduel.com/entry/BNLSHBGVW,
S2309515166,nba,2021/01/07,$10K Thu NBA Swat (3 Entries Max),$60k,299.60,,6737,11883,Tournament,1,0,https://www.fanduel.com/entry/AMSNYTXNC,
S2309515153,nba,2021/01/07,$10K Thu NBA Swat (3 Entries Max),$60k,347.80,,1108,11883,Tournament,1,2.50,https://www.fanduel.com/entry/AJNDATEAA,
S2309515138,nba,2021/01/07,$10K Thu NBA Swat (3 Entries Max),$60k,350.80,,937,11883,Tournament,1,3.00,https://www.fanduel.com/entry/APXYWURAE,
S2307547115,nba,2021/01/06,$30K Wed NBA Dribbler (Single Entry),$60k,314.10,,3031,20518,Tournament,1,2.50,https://www.fanduel.com/entry/FEQMZHHLM,
S2307506374,nba,2021/01/06,$12K Wed NBA Swat (3 Entries Max),$60k,284.80,,6378,14285,Tournament,1,0,https://www.fanduel.com/entry/DXMNQIAEG,
S2307506367,nba,2021/01/06,$12K Wed NBA Swat (3 Entries Max),$60k,294.90,,4752,14285,Tournament,1,0,https://www.fanduel.com/entry/DVIXRQEMW,
S2307506355,nba,2021/01/06,$12K Wed NBA Swat (3 Entries Max),$60k,336.10,,686,14285,Tournament,1,3.00,https://www.fanduel.com/entry/DVWVEHQKS,
S2306214542,nba,2021/01/05,$5K Tue NBA Pick 'n Roll (20 Entries Max),$60k,322.70,,579,2681,Tournament,2.22,4.00,https://www.fanduel.com/entry/ELJZXSXTQ,
S2306214535,nba,2021/01/05,$5K Tue NBA Pick 'n Roll (20 Entries Max),$60k,300.80,,1285,2681,Tournament,2.22,0,https://www.fanduel.com/entry/EIEOZSEGO,
S2306129201,nba,2021/01/05,$5K Tue NBA Pick 'n Roll (20 Entries Max),$60k,283,,1848,2681,Tournament,2.22,0,https://www.fanduel.com/entry/EYFSFTUWH,
S2306129198,nba,2021/01/05,$5K Tue NBA Pick 'n Roll (20 Entries Max),$60k,325.10,,530,2681,Tournament,2.22,4.00,https://www.fanduel.com/entry/EVAHHTBJF,
S2306129195,nba,2021/01/05,$5K Tue NBA Pick 'n Roll (20 Entries Max),$60k,351.70,,81,2681,Tournament,2.22,6.00,https://www.fanduel.com/entry/EWCCHBZEX,
S2302808278,nba,2021/01/03,$250 NBA Small Swat,$60k,319.80,,82,297,Tournament,1,0,https://www.fanduel.com/entry/AVHAEOIWK,
S2302808274,nba,2021/01/03,$250 NBA Small Swat,$60k,326.20,,66,297,Tournament,1,2.00,https://www.fanduel.com/entry/ASBPGNPJI,
S2302808273,nba,2021/01/03,$250 NBA Small Swat,$60k,288.90,,195,297,Tournament,1,0,https://www.fanduel.com/entry/ASPMTFBHE,
S2302808272,nba,2021/01/03,$250 NBA Small Swat,$60k,308.30,,118,297,Tournament,1,0,https://www.fanduel.com/entry/ATDKFWNFA,
S2302808263,nba,2021/01/03,$250 NBA Small Swat,$60k,285.40,,206,297,Tournament,1,0,https://www.fanduel.com/entry/AYMLCPCJM,
S2302808260,nba,2021/01/03,$250 NBA Small Swat,$60k,272.90,,243,297,Tournament,1,0,https://www.fanduel.com/entry/AZAIPGOHI,
S2302020832,nfl,2021/01/03,$100K Sun NFL Special ($20K to 1st),$60k,158.34,,6848,26812,Tournament,4.44,0,https://www.fanduel.com/entry/BGMZQGKBI,
S2299926993,nba,2021/01/02,$3K Sat NBA Dribbler (Single Entry),$60k,301,,1397,3571,Tournament,1,0,https://www.fanduel.com/entry/AOIGWKHUG,
S2299859187,nba,2021/01/02,$6K Sat NBA Pick 'n Roll (20 Entries Max),$60k,261.20,,2684,3217,Tournament,2.22,0,https://www.fanduel.com/entry/BUYJUYRQX,
S2299859174,nba,2021/01/02,$6K Sat NBA Pick 'n Roll (20 Entries Max),$60k,331.20,,262,3217,Tournament,2.22,6.00,https://www.fanduel.com/entry/ANGMDBZSL,
S2299859163,nba,2021/01/02,$6K Sat NBA Pick 'n Roll (20 Entries Max),$60k,254.20,,2839,3217,Tournament,2.22,0,https://www.fanduel.com/entry/AOIHCKXOD,
S2299859156,nba,2021/01/02,$6K Sat NBA Pick 'n Roll (20 Entries Max),$60k,261.50,,2676,3217,Tournament,2.22,0,https://www.fanduel.com/entry/CBXDECVKT,
S2299859144,nba,2021/01/02,$6K Sat NBA Pick 'n Roll (20 Entries Max),$60k,276.50,,2168,3217,Tournament,2.22,0,https://www.fanduel.com/entry/CCYYDLTGL,
S2299843126,nba,2021/01/02,$1K NBA Small Shot,$60k,254.20,,361,396,Tournament,3,0,https://www.fanduel.com/entry/CRYGDDTQH,
S2299843111,nba,2021/01/02,$1K NBA Small Shot,$60k,261.50,,340,396,Tournament,3,0,https://www.fanduel.com/entry/CXVEMNUSP,
S2299843061,nba,2021/01/02,$1K NBA Small Shot,$60k,276.50,,280,396,Tournament,3,0,https://www.fanduel.com/entry/CWTJNEWWX,
S2299762689,nba,2021/01/02,NBA tournament,$60k,,,0,,Cancelled,3,0,https://www.fanduel.com/entry/BQRCZXUHW, voided
S2299762681,nba,2021/01/02,NBA tournament,$60k,,,0,,Cancelled,3,0,https://www.fanduel.com/entry/BMXUPFOWY, voided
S2299762677,nba,2021/01/02,NBA tournament,$60k,,,0,,Cancelled,3,0,https://www.fanduel.com/entry/BNLSBXAUU, voided
S2298143427,nba,2021/01/01,$2K Fri NBA Dribbler (Single Entry),$60k,318.40,,54,2330,Tournament,1,5.00,https://www.fanduel.com/entry/ECVNCAPHL,
S2298127806,nba,2021/01/01,$1K NBA Small Shot,$60k,283.60,,122,344,Tournament,3,0,https://www.fanduel.com/entry/DSRJEPGKJ,
S2297878516,nba,2021/01/01,$250 NBA Small Dribbler (Single Entry),$60k,286.10,,85,297,Tournament,1,0,https://www.fanduel.com/entry/EVAFXLSAJ,
S2297831384,nba,2021/01/01,$1K NBA Small Shot,$60k,288.60,,98,396,Tournament,3,0,https://www.fanduel.com/entry/DPLXPBPKC,
S2297831375,nba,2021/01/01,$1K NBA Small Shot,$60k,307.80,,24,396,Tournament,3,10.00,https://www.fanduel.com/entry/DPZVBTBHY,
S2297831366,nba,2021/01/01,$1K NBA Small Shot,$60k,318.40,,10,396,Tournament,3,20.00,https://www.fanduel.com/entry/DMUKDSHUW,
S2297826000,nba,2021/01/01,$6K Fri NBA Pick 'n Roll (20 Entries Max),$60k,267.10,,2104,3217,Tournament,2.22,0,https://www.fanduel.com/entry/DQNSRDJFM,
S2297825990,nba,2021/01/01,$6K Fri NBA Pick 'n Roll (20 Entries Max),$60k,277.70,,1513,3217,Tournament,2.22,0,https://www.fanduel.com/entry/DWYONEWFQ,
S2297825977,nba,2021/01/01,$6K Fri NBA Pick 'n Roll (20 Entries Max),$60k,305.90,,256,3217,Tournament,2.22,6.00,https://www.fanduel.com/entry/DYAJMNUBI,
S2297825966,nba,2021/01/01,$6K Fri NBA Pick 'n Roll (20 Entries Max),$60k,288.60,,879,3217,Tournament,2.22,0,https://www.fanduel.com/entry/DUUYONAOG,
S2297825949,nba,2021/01/01,$6K Fri NBA Pick 'n Roll (20 Entries Max),$60k,307.80,,210,3217,Tournament,2.22,6.00,https://www.fanduel.com/entry/CSZZFPEWG,
S2297825939,nba,2021/01/01,$6K Fri NBA Pick 'n Roll (20 Entries Max),$60k,318.40,,65,3217,Tournament,2.22,10.00,https://www.fanduel.com/entry/CTNWSGQUC,
S2296349196,nba,2020/12/31,$30K Thu NBA Dribbler (Single Entry),$60k,263.80,,8512,18826,Tournament,1,2.00,https://www.fanduel.com/entry/DVWSXQPLH,
S2295927342,nba,2020/12/31,$8K Thu NBA Swat (3 Entries Max),$60k,266.90,,4118,9523,Tournament,1,0,https://www.fanduel.com/entry/EARXCEYCL,
S2295908335,nba,2020/12/31,$8K Thu NBA Swat (3 Entries Max),$60k,263.80,,4607,9523,Tournament,1,0,https://www.fanduel.com/entry/AVGZHXFQD,
S2295905236,nba,2020/12/31,$8K Thu NBA Swat (3 Entries Max),$60k,227,,8524,9523,Tournament,1,0,https://www.fanduel.com/entry/EZVJMNILZ,
S2294343872,nba,2020/12/30,$35K Wed NBA Dribbler (Single Entry),$60k,303.50,,4837,26674,Tournament,1,2.50,https://www.fanduel.com/entry/DTFGIYLHV,
S2294282782,nba,2020/12/30,$1K NBA Small Shot,$60k,291.70,,157,396,Tournament,3,0,https://www.fanduel.com/entry/DWYOVNDAM,
S2294282775,nba,2020/12/30,$1K NBA Small Shot,$60k,291.40,,158,396,Tournament,3,0,https://www.fanduel.com/entry/DVIWJMTGY,
