Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1210691451,mlb,2017/05/01,$250 MLB Mini Sac Fly,$35k,125.80,,87,294,Tournament,1,0,https://www.fanduel.com/entry/DTPRIJHXW,
S1210689910,mlb,2017/05/01,$250 MLB Mini Bunt,$35k,71.10,,265,294,Tournament,1,0,https://www.fanduel.com/entry/ELUJYEZSY,
S1210682104,mlb,2017/05/01,$12K Mon MLB Bunt (Single Entry),$35k,103.30,,7622,14117,Tournament,1,0,https://www.fanduel.com/entry/ECSAVCBOA,
S1210388189,nba,2017/04/30,NBA Fantasy Playoffs presented by Bud Light ,$60k,265.90,,19516,43514,Tournament,0,0,https://www.fanduel.com/entry/CIEKSALRX,
S1210260765,nba,2017/04/30,$250 NBA Mini Dribbler (Single Entry),$60k,269.70,,98,294,Tournament,1,0,https://www.fanduel.com/entry/AYWUGRMTZ,
S1209389377,mlb,2017/04/28,$13K Fri MLB Bunt (Single Entry) ,$35k,156.60,,3659,15294,Tournament,1,0,https://www.fanduel.com/entry/CIEJPTXKE,
S1209292933,mlb,2017/04/28,$250 MLB Mini Sac Fly,$35k,152.10,,76,294,Tournament,1,0,https://www.fanduel.com/entry/BBOHJWGPP,
S1209282282,mlb,2017/04/28,$250 MLB Mini Bunt,$35k,119.30,,196,294,Tournament,1,0,https://www.fanduel.com/entry/AOERENZNQ,
S1209127841,nba,2017/04/28,$22K Fri NBA Dribbler (Single Entry),$60k,275.70,,8094,25240,Tournament,1,0,https://www.fanduel.com/entry/EHNCKJQJW,
S1208589729,mlb,2017/04/27,$10K Thu MLB Sac Fly (3 Entries Max),$35k,126.40,,3184,11760,Tournament,1,0,https://www.fanduel.com/entry/BYAFMHYTK,
S1208576450,mlb,2017/04/27,$10K Thu MLB Sac Fly (3 Entries Max),$35k,132.50,,2543,11760,Tournament,1,0,https://www.fanduel.com/entry/DFSDQJPEE,
S1208574221,mlb,2017/04/27,$10K Thu MLB Sac Fly (3 Entries Max),$35k,98.20,,7221,11760,Tournament,1,0,https://www.fanduel.com/entry/ENKBFNLCY,
S1208572519,mlb,2017/04/27,$8K Thu MLB Bunt (Single Entry),$35k,131.70,,2075,9411,Tournament,1,0,https://www.fanduel.com/entry/AQWFPZXKY,
S1207994853,mlb,2017/04/26,$10K Wed MLB Sac Fly (3 Entries Max),$35k,144.70,,4371,11764,Tournament,1,0,https://www.fanduel.com/entry/DNSRTWDQN,
S1207946866,mlb,2017/04/26,$250 MLB Mini Sac Fly,$35k,140.50,,152,294,Tournament,1,0,https://www.fanduel.com/entry/EEHRMMPWC,
S1207933965,mlb,2017/04/26,$250 MLB Mini Sac Fly,$35k,182.80,,55,294,Tournament,1,2.50,https://www.fanduel.com/entry/BOJYSBZHY,
S1207888730,mlb,2017/04/26,$250 MLB Mini Bunt,$35k,171.70,,63,294,Tournament,1,0,https://www.fanduel.com/entry/DGGAKRTXR,
S1207876346,mlb,2017/04/26,$12K Wed MLB Bunt (Single Entry),$35k,175.90,,1751,14117,Tournament,1,2.50,https://www.fanduel.com/entry/AJXLTMZQH,
