Entry Id,Sport,Date,Title,SalaryCap,Score,Opp Score,Position,Entries,Opponent,Entry ($),Winnings ($),Link
S1826191140,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,89.02,,341320,383233,Tournament,0.25,0,https://www.fanduel.com/entry/DVYHHOOKI,
S1826183780,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,132.42,,81539,383233,Tournament,0.25,0.50,https://www.fanduel.com/entry/ALEIOKIOI,
S1824746720,nfl,2019/10/10,$40K Thu NFL Hail Mary (Only $0.25 to Enter),$60k,79.64,,14866,191616,Tournament,0.25,0.60,https://www.fanduel.com/entry/ELZKEECNY,
S1824046658,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,161.32,,8772,383233,Tournament,0.25,1.00,https://www.fanduel.com/entry/CNEOGWWEV,
S1824037515,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,109.72,,227747,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AZBUXRSMN,
S1824032607,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,139.30,,52272,383233,Tournament,0.25,0.50,https://www.fanduel.com/entry/CLOWHFDWF,
S1824031499,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,95.42,,314802,383233,Tournament,0.25,0,https://www.fanduel.com/entry/BULYNVUYN,
S1824029003,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,122.70,,137269,383233,Tournament,0.25,0,https://www.fanduel.com/entry/EQGPVUQAV,
S1824027781,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,102.50,,276641,383233,Tournament,0.25,0,https://www.fanduel.com/entry/CRZSGKRRX,
S1824025900,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,110.12,,225041,383233,Tournament,0.25,0,https://www.fanduel.com/entry/ESKGAQUKR,
S1824022847,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,119.22,,160498,383233,Tournament,0.25,0,https://www.fanduel.com/entry/AZBVFZZKF,
S1824022092,nfl,2019/10/13,$80K Sun NFL Hail Mary ($0.25 to Enter),$60k,94.42,,319426,383233,Tournament,0.25,0,https://www.fanduel.com/entry/EDYVUCAOJ,
